Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/TYCS/SauceDemo/TC-SD-LoginInvalidoDF,Edge Chromium 120,,,10-01-2024 18:55:29,10-01-2024 18:56:11,"41,264s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:55:29,10-01-2024 18:55:32,"2,460s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:55:32,10-01-2024 18:55:33,"0,833s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:55:33,10-01-2024 18:55:34,"1,605s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:55:34,10-01-2024 18:55:35,"0,657s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:55:35,10-01-2024 18:55:35,"0,370s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:55:35,10-01-2024 18:56:05,"30,057s",PASSED
delay(5),Edge Chromium 120,,,10-01-2024 18:56:05,10-01-2024 18:56:10,"5,014s",PASSED
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:56:10,10-01-2024 18:56:11,"0,251s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-LoginInvalidoDF,Edge Chromium 120,,,10-01-2024 18:56:11,10-01-2024 18:56:52,"41,503s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:56:11,10-01-2024 18:56:14,"2,720s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:56:14,10-01-2024 18:56:14,"0,896s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:56:14,10-01-2024 18:56:16,"1,507s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:56:16,10-01-2024 18:56:17,"0,648s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:56:17,10-01-2024 18:56:17,"0,397s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:56:17,10-01-2024 18:56:47,"30,054s",PASSED
delay(5),Edge Chromium 120,,,10-01-2024 18:56:47,10-01-2024 18:56:52,"5,011s",PASSED
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:56:52,10-01-2024 18:56:52,"0,249s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-LoginInvalidoDF,Edge Chromium 120,,,10-01-2024 18:56:52,10-01-2024 18:57:35,"42,261s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:56:52,10-01-2024 18:56:55,"2,537s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:56:55,10-01-2024 18:56:57,"1,717s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:56:57,10-01-2024 18:56:58,"1,628s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:56:58,10-01-2024 18:56:59,"0,614s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:56:59,10-01-2024 18:56:59,"0,411s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:56:59,10-01-2024 18:57:29,"30,053s",PASSED
delay(5),Edge Chromium 120,,,10-01-2024 18:57:29,10-01-2024 18:57:34,"5,011s",PASSED
